supplier,product_name,origin_country,process,producer,selected_option_for_6kg,sku,unit_size_kg,base_unit_price_gbp,base_price_per_kg_gbp,discount_for_6kg_pct,price_per_kg_at_6kg_gbp,total_price_for_6kg_gbp,stock_cap_units,available_for_6kg,pricing_note,product_url,image_url,selling_uplift_per_kg_gbp,selling_price_per_kg_roasted_gbp,total_selling_price_for_6kg_roasted_gbp,gross_profit_for_6kg_gbp,gross_margin_pct,margin_note
Falcon Micro,"Guayabos, Café Agrario, Colombia",Colombia,Washed,Café Agrario,1000 g pack,FSC-8227,1.00,18.70,18.70,5,17.77,106.59,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/guayabos-cafe-agrario-colombia-washed-fsc-8227,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/FSC-8227.png?v=1766050162,4.00,21.77,130.62,24.03,18.40,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Fazenda Pinhal, Gabarra Teixeria Family, Brazil",Brazil,Natural,Gabarra Teixeria Family,1000 g pack,FSC-8253,1.00,14.50,14.50,5,13.78,82.65,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/fazenda-pinhal-gabarra-teixeria-family-brazil-natural-fsc-8253,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/pinhal_micro-1_copy_3.jpg?v=1773159468,4.00,17.78,106.68,24.03,22.53,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Imbalu, The Coffee Yard, Uganda",Uganda,Anaerobic Natural,Imbalu,1000 g pack,FSC-8617,1.00,21.00,21.00,5,19.95,119.70,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/imbalu-the-coffee-yard-uganda-anaerobic-natural-fsc-8617,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/imbalu_micro-1_copy_2.jpg?v=1776267430,4.00,23.95,143.70,24.00,16.70,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Bellavista, Huabal, Peru",Peru,Natural,Bellavista,1000 g pack,FSC-8628,1.00,20.00,20.00,5,19.00,114.00,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/bellavista-huabal-peru-natural-fsc-8628,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/bellavista-28.jpg?v=1776335583,4.00,23.00,138.00,24.00,17.39,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Kiamabara AB, Nyeri County, Kenya",Kenya,Washed,Mugaga Farmers’ Cooperative Society,1000 g pack,FSC-8710,1.00,18.60,18.60,5,17.67,106.02,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/kiamabara-ab-nyeri-county-kenya-washed-fsc-8710,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/kiamabara-28.jpg?v=1774871474,4.00,21.67,130.02,24.00,18.46,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Sidamo Taferi Kela - Kickstart Natural - Lot 25.17, Bette Buna, Ethiopia",Ethiopia,Natural,Bette Buna,1000 g pack,FSC-7761,1.00,20.00,20.00,5,19.00,114.00,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/sidamo-taferi-kela-kickstart-lot-25-17-bette-buna-ethiopia-natural-fsc-7761,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/bette_b-28.jpg?v=1773931664,4.00,23.00,138.00,24.00,17.39,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Muki Fruity, The Coffee Yard, Uganda",Uganda,Anaerobic Natural,Muki Fruity,1000 g pack,FSC-8684,1.00,19.00,19.00,5,18.05,108.30,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/muki-fruity-the-coffee-yard-uganda-anaerobic-natural-fsc-8684,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/muki-28.jpg?v=1776267301,4.00,22.05,132.30,24.00,18.14,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Cajamarca, Falcon Coffees Peru, Peru",Peru,Washed,Cajamarca,1000 g pack,FSC-8554,1.00,15.00,15.00,5,14.25,85.50,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/cajamarca-falcon-coffees-peru-peru-washed-fsc-8554,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/cajamarca_micro-1_copy_3.jpg?v=1776335640,4.00,18.25,109.50,24.00,21.92,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Lala Salama Decaf, Abay Teka District, Ethiopia",Ethiopia,Decaf,Mixed,1000 g pack,FSC-8613,1.00,16.50,16.50,5,15.68,94.05,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/lala-salama-decaf-abay-teka-district-ethiopia-decaf-fsc-8613,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/lala_salama_decaf-36.jpg?v=1772197576,4.00,19.68,118.08,24.03,20.35,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
Falcon Micro,"Tegu Factory AB, Karatina Town, Kenya",Kenya,Washed,Tegu Factory,1000 g pack,FSC-8711,1.00,21.20,21.20,5,20.14,120.84,,,Falcon 6 kg total calculated using the 5 kg quantity-break tier: base price x 95% x 6.,https://www.falcon-micro.com/products/tegu-factory-ab-karatina-town-kenya-washed-fsc-8711,https://cdn.shopify.com/s/files/1/0826/3978/2207/files/tegu_micro-1copy2.jpg?v=1774871127,4.00,24.14,144.84,24.00,16.57,Gross margin = (6kg roasted selling total - 6kg green coffee cost) / 6kg roasted selling total. Assumes fixed £4/kg uplift and no roast weight-loss adjustment.
